                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4344,                0.81467,                 1.0427,                0.88669,                0.88142,                 0.9388,                 0.5435,                  1.479,                0.74349,                 1.1279,               0.006634,               0.006634,               0.006634
                     36,                 1.4324,                0.81884,                 1.0421,                0.90908,                 0.8694,                0.93426,                 0.5366,                 1.4485,                0.75627,                  1.118,               0.006535,               0.006535,               0.006535
                     37,                  1.427,                0.81097,                 1.0412,                0.87133,                0.90316,                0.93837,                0.53818,                 1.4661,                0.74401,                 1.1206,               0.006436,               0.006436,               0.006436
                     38,                 1.3863,                0.77888,                 1.0211,                0.89131,                 0.8913,                 0.9353,                0.53389,                 1.4865,                0.73376,                 1.1357,               0.006337,               0.006337,               0.006337
                     39,                 1.3793,                0.77674,                 1.0229,                0.89793,                0.90411,                0.92543,                0.52875,                 1.4625,                 0.7208,                 1.1328,               0.006238,               0.006238,               0.006238
                     40,                 1.3704,                0.76571,                 1.0213,                0.89924,                0.88183,                0.93521,                0.54013,                 1.4386,                0.73041,                  1.125,               0.006139,               0.006139,               0.006139
                     41,                 1.3584,                0.75873,                 1.0165,                0.91759,                 0.9022,                0.95037,                0.54509,                 1.4514,                0.70798,                 1.1259,                0.00604,                0.00604,                0.00604
                     42,                 1.3681,                0.75783,                 1.0187,                0.91024,                0.89921,                0.94289,                0.54043,                  1.462,                0.71692,                  1.131,               0.005941,               0.005941,               0.005941
                     43,                 1.3437,                0.75256,                 1.0113,                0.91661,                0.91241,                0.94475,                0.55726,                  1.413,                0.67833,                 1.1076,               0.005842,               0.005842,               0.005842
                     44,                 1.3381,                0.73995,                 1.0142,                0.91359,                0.88735,                 0.9331,                0.55648,                 1.4099,                0.67715,                 1.1071,               0.005743,               0.005743,               0.005743
